127.0.0.1 - - [30/May/2024:13:03:28 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [30/May/2024:13:03:30 +0530] "GET /GradeCalculator/index.jsp HTTP/1.1" 200 1175
0:0:0:0:0:0:0:1 - - [30/May/2024:13:03:30 +0530] "GET /GradeCalculator/css/styles.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [30/May/2024:13:03:30 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [30/May/2024:13:03:51 +0530] "GET /GradeCalculator/index.jsp HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [30/May/2024:13:03:51 +0530] "GET /GradeCalculator/css/style.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [30/May/2024:13:03:54 +0530] "GET /GradeCalculator/index.jsp HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [30/May/2024:13:03:54 +0530] "GET /GradeCalculator/css/style.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [30/May/2024:13:03:54 +0530] "GET /GradeCalculator/index.jsp HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [30/May/2024:13:03:54 +0530] "GET /GradeCalculator/css/style.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [30/May/2024:13:03:54 +0530] "GET /GradeCalculator/index.jsp HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [30/May/2024:13:03:54 +0530] "GET /GradeCalculator/css/style.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [30/May/2024:13:04:23 +0530] "POST /GradeCalculator/calculate HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [30/May/2024:13:04:23 +0530] "GET /GradeCalculator/css/style.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [30/May/2024:13:04:28 +0530] "GET /GradeCalculator/index.jsp HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [30/May/2024:13:04:28 +0530] "GET /GradeCalculator/css/style.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [30/May/2024:13:04:49 +0530] "GET /GradeCalculator/index.jsp HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [30/May/2024:13:04:49 +0530] "GET /GradeCalculator/css/style.css HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [30/May/2024:13:06:14 +0530] "GET /GradeCalculator/index.jsp HTTP/1.1" 200 1162
0:0:0:0:0:0:0:1 - - [30/May/2024:13:06:14 +0530] "GET /GradeCalculator/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:13:06:38 +0530] "POST /GradeCalculator/calculate HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [30/May/2024:13:06:45 +0530] "GET /GradeCalculator/index.jsp HTTP/1.1" 200 1162
0:0:0:0:0:0:0:1 - - [30/May/2024:13:06:45 +0530] "GET /GradeCalculator/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:13:17:03 +0530] "GET /GradeCalculator/index.jsp HTTP/1.1" 200 1155
0:0:0:0:0:0:0:1 - - [30/May/2024:13:17:03 +0530] "GET /GradeCalculator/css/styles.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [30/May/2024:13:17:51 +0530] "GET /GradeCalculator/index.jsp HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [30/May/2024:13:17:51 +0530] "GET /GradeCalculator/css/style.css HTTP/1.1" 200 2074
0:0:0:0:0:0:0:1 - - [30/May/2024:13:18:07 +0530] "POST /GradeCalculator/calculate HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [30/May/2024:13:18:07 +0530] "GET /GradeCalculator/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:13:18:16 +0530] "GET /GradeCalculator/index.jsp HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [30/May/2024:13:18:16 +0530] "GET /GradeCalculator/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:13:18:25 +0530] "POST /GradeCalculator/calculate HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [30/May/2024:13:18:25 +0530] "GET /GradeCalculator/css/style.css HTTP/1.1" 304 -
