127.0.0.1 - - [11/Jun/2024:10:45:53 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:45:54 +0530] "GET /StudentManagment/index.jsp HTTP/1.1" 200 3816
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:45:54 +0530] "GET /StudentManagment/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:45:54 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:45:58 +0530] "GET /StudentManagment/index.jsp HTTP/1.1" 200 3816
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:46:00 +0530] "GET /StudentManagment/addStudent.jsp HTTP/1.1" 200 4879
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:46:23 +0530] "POST /StudentManagment/add_Student HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:46:23 +0530] "GET /StudentManagment/addStudent.jsp HTTP/1.1" 200 5045
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:46:29 +0530] "GET /StudentManagment/ShowAllStudents.jsp HTTP/1.1" 200 4665
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:46:32 +0530] "GET /StudentManagment/addStudent.jsp HTTP/1.1" 200 4879
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:46:35 +0530] "GET /StudentManagment/addStudent.jsp HTTP/1.1" 200 4879
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:46:50 +0530] "POST /StudentManagment/add_Student HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:46:50 +0530] "GET /StudentManagment/addStudent.jsp HTTP/1.1" 200 5045
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:46:53 +0530] "GET /StudentManagment/ShowAllStudents.jsp HTTP/1.1" 200 5073
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:47:04 +0530] "GET /StudentManagment/delete?id=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:47:04 +0530] "GET /StudentManagment/ShowAllStudents.jsp HTTP/1.1" 200 4833
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:47:52 +0530] "GET /StudentManagment/index.jsp HTTP/1.1" 200 3816
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:47:57 +0530] "GET /StudentManagment/index.jsp HTTP/1.1" 200 3816
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:48:00 +0530] "GET /StudentManagment/addStudent.jsp HTTP/1.1" 200 4879
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:48:26 +0530] "POST /StudentManagment/add_Student HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:48:26 +0530] "GET /StudentManagment/addStudent.jsp HTTP/1.1" 200 5045
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:48:28 +0530] "GET /StudentManagment/ShowAllStudents.jsp HTTP/1.1" 200 5078
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:48:35 +0530] "GET /StudentManagment/edit_student.jsp?id=6 HTTP/1.1" 200 4976
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:48:46 +0530] "POST /StudentManagment/editstudent HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:48:46 +0530] "GET /StudentManagment/ShowAllStudents.jsp HTTP/1.1" 200 5252
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:48:51 +0530] "GET /StudentManagment/delete?id=6 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:48:51 +0530] "GET /StudentManagment/ShowAllStudents.jsp HTTP/1.1" 200 4833
0:0:0:0:0:0:0:1 - - [11/Jun/2024:10:48:54 +0530] "GET /StudentManagment/ShowAllStudents.jsp HTTP/1.1" 200 4663
